terrific example	violent mob	Unfortunately it stays absurd 	no general narrative	too off putting	should be turned off	cryptic dialogue		absurd comedy	crazy chantings																				
most unbelievably intelligent illiterate 	so wasteful of talent	truly disgusting	script is unbelievable	dialog is unbelievable	character is a caricature of herself	movie moves at a snail's pace	photographed in an ill-advised manner	insufferably preachy	movie is this worthless	waste of time and tape	Avoid this movie		not a funny one																
horrible performances	zero chemistry	worst effort	illiterate of all time	uncomfortably drifts all over the map	has no handle on this character	character is so poorly written	Molasses-like	excruciating pacing	is a true bummer	1 out of 10	one of the worst 20 movies																		
it fails from every angle	Depressing yes	adaptation of 'Union Street'...no	many are discarded	essence and the real gut of the novel is lost																									
kind of boring	it didn't make sense	his hair was kind of weird	did not make up for the film	they cuss in like every sentence	cussing was annoying	flashy, camera shaking thing gave me a headache	found the film to be a bore	over dramatic	not worth renting																				
has failed in it very badly	total waste of time and effort	I have seen worst movies than this	he has gone in the opposite way																										
really a new low in entertainment	there are a lot worse movies out	hard to have a convincing storyline (this movies does not	couldn't be more far fetched	would also need a setting of character relationships that is believable 	not giving the characters a moment to reflect	forcing the story along	nothing more then a cheap action movie	managing to not totally ruin what's left of his reputation	can't recommend it	1 for Vinnie				worn out cliché	this movie does not	2 for the editing													
6/10	makes some stupid decisions	story makes no sense at all	has huge amount of flaws	4/10 Overall score	Don't waste your time	it's not worth it	gave 4 for this movie	Characters are so over exaggerated	pretty unexplainable stuff happens	not in good way	you get bored after 30 minutes	too many special effects	slow motions	camera shakes	fast forwards	too many tracks	is almost 50/50 dialogs and musics				Acting, not great								
one of the dumbest films	rips off	make a mess	not a single good line or character in the whole mess	If there was a plot, it was an afterthought	there's nothing good to say so Ill say nothing	cant understand	Oh my god this really is a load of shite	Its crap like this that has people downloading illegally	trailer looks like a completely different film	Don't waste your time	this is painful		this type of nonsense gets produced																
seriously let this film down	feel bad for the writers	acting is wooden	few of the characters are believable	wanted to splash them all over the film	lots of quick 'flashy' edits	end up as annoying	alas no	left me feeling like I'd wasted my time	film makers had wasted their money																				
how does such a crappy movie ever earn a sequel	it seemed really weak	but not exceptional																											
movie was B-grade slop	techniques used (as many have already mentioned) were overused	unconvincing and irrelevant	lacklustre	such boring action	action is poor and intermittent	Nothing really to write home about	BAD' movies	film, however, is a void	It's nothing	save you money and your time						unimaginative	implausible 	convoluted	NOT seeing this movie										
Weak plot	predictable violence	semi interesting characters	fictionalizing his own screw ups	added an incredulous fantasies	predictable rap and house soundtrack	it's poorly acted	stereotypical	title has been done before			terribly boring																		
refund for the time just spent	almost gave up with only 15 minutes left to endure	could never be this rapid	impossible to understand	no redeeming qualities	Save your money	save your time																							
the worst movie ever made	It beats everything	have never seen worse	just no comparison	insanely horrific	Its so bad	anything that should have ever been created and brought into our existence	made me question whether or not humans are truly put on this earth to do good	feel disgusted with ourselves and our progress as a species in this universe	movie sincerely hurts us as a society	should be ashamed	cannot emphasize	need to prevent the creation of these gross distortions	It's an embarrassment	don't know how on earth any of these actors, writers, or the director of this film sleeps at night	what type of disgusting monsters	this crosses the line of "bad"	this is awkward bad	This is the bad	cheesy editing	shamelessly used over and over again to a sickening point	know everything that is going to happen	meticulously boring, repetitive	DISTURBING thing	inhumane torture for our war prisoners abroad	Stop these movies	most vile of all facets	Please. Stop. NOW		just tortures the audience
suffers from a lackluster script and a storyline	isn't very engaging	generally seemed annoying and out-of-place	sporadically tossed in at random points	cheap attempt at style	can't recommend this movie	not for buying, renting, or even seeing for free	not worth the effort it takes to sit through																						
psychedelic	not my cup of tea	too long	enough to drive anyone crazy																										
quickly becomes tiresome	total bore	too hip and "with it"						would appeal to no one																					
didn't like	no background traffic	lousy direction	rape scene brutal and unnecessary	sound effects of the shoot-out were pretty bad	some glitches in the film	low-caliber of the film																							
movie was terrible	acting was TERRIBLE	actor were almost camera shy	plot was also crap	writers were probably sleep deprived	good kind of bad movie	how terrible the movie was																							
No offense	film had no script	demanded next to nothing	film was another failure	script was so bad	nothing to sink your teeth into	all the characters were two dimensional	tried to act like a hard ass	script and direction didn't even allow him to do enough	sounded like the noise of paint ball guns	It was really weird	didn't sound like real guns	video game had better sound effects than this film	really annoying bloke	He sounded like a girl	Whoo Hoo ! Dumb Film	Poor 		all for nothing											
tough to bear experience	is an insult to the heist|hostage movie genre	hiring the cheapest equipment and crew 																											
such a shame of a film	if your script and dialogs are terrible	even good actors cannot save the day	amateur actors that flood this film	Too many non-native-English-speakers	script that should have been thrown away	It's unbelievable how unbelievable all the lines	music is awful and totally out of place	a poor school play	I recommend you watch it just so you would appreciate other, better, movies	3 instead of the 1 it deserves																			
I have to congratulate the genius who approved this one	every piece of low-cost amateur crap	sole intention has to be to get some bucks	filming is bad	I mean BAD	don't go to the supermarket looking for actors	please find your purpose in life	as a director you simply suck	Your directing is poor	angles are all messed up (not in a good way)	being read out of toilet paper	damn music.. it always comes up when it shouldn't	don't go for writer either	it requires art and skill, things I really doubt you'll ever have	just go find a job on a coffeshop	save movie goers some money and a bad night	1/10 (my first one)		goes out for no apparent reason											
so comprehensively awful 	standard is so terribly low	this many clichés	OH MY GOD What are we going to do!?	He pushes it in someone's face for 90 minutes	a film has to be very clever and well executed. This one is neither	It has no life and no personality	it will suck these components from YOU	will make you feel WORSE	worst film I have ever seen	this sub- mediocre soul killing trash	disservice they've done to us			destructive effect on your morale															
void this title at all costs	I left with 20 minutes remaining	I didn't care anymore (about the plot	goof only 5 minutes into the movie	things are going to bad	indicator of things to come...unfortunately	is sub-par in every manner	half-assed acting	is disappointing when you're expecting half-assed acting	the rape scene...Christ!	should never be used in a rape scene																			
Terrible movie	movie was bad	already a waste of my time	wanted to warn others	Avoid this movie	acting sucks	writing is just moronic		Bad in every way	terrible and unneeded rape scene	poorly contrived	unbelievable piece of garbage	waste my time watching this	how bad I think it is	Totally unnecessary															
film is terrible	don't (unless you are studying how not to make a good movie)	acting is horrendous	serious amateur hour	new low	plot is terrible	this is a terrible movie	Don't watch it!!!	at least you won't feel like killing yourself																					
too dry and too theatrical	less cinema	too much explicit	story has a level of ambiguity	do not appear fit to the task	betrays the director	seem confused	lack credibility	bad imitation	too demonstrative	try too hard to show what a great filmmaker he is					extrovert exercise in cinema art														
did not like the idea of	was much more better than that new one	is a very weak point																											
is the biggest insult	There will never be a female turtle	voices were WRONG	could have done such a better job	don't bother with this people	it's cringe worthy material	was slow	totally disrespected shredder	dragonlord dude was corny	the turtles looked corny	the silly looking	got rid of the stupid kiddie cartoon sounds	it could have been good				they all acted out of character	unnatural looking												
was disappointed by the end result is an understatement	not the greatest piece of puppetry	ever got comfortable with her	against the idea of one who uses magic	execution was flawed																									
is the worst thing	it was deuce	It's atrocious	hate on the series for including a female turtle	it's miserably forgettable																									
disgustingly made low-budget bad-acted movie	plot itself is just STUPID!!!	Ridiculous!!!	If you´ve got nothing better to do (like sleeping) you should watch this																										
as placed on the 'Video Nasties' list	officially classed as obscene & banned	is so boring it's untrue	kidnap plot is one of the dullest	without the slightest bit of tension or excitement involved	horror side of things don't improve	it has no more success	is one to avoid	shows his usual incompetence throughout	cannibal scenes are poor	action is lame	endless scenes of people randomly walking around	incredibly dull & tedious	this is very tame	some gross close ups	fair bit of nudity	an unpleasant rape scene	must have had a low budget	shoddy poorly made film	awful special effects	rock bottom production values									
seemed way too long	too much footage of people walking	Eurotrash fans will be plenty entertained	gratuitous female flesh						music sucks	sound effects become annoying	acting sucks	no one in this thing can act	is a terrible film	commits the fatal mistake of being as boring as hell	are pretty gross	one to avoid	very silly makeup jobs												
gained notoriety	isn't the tamest of the bunch	which is a shame	never would have sat through it	film basically just plods along	aren't many scenes of interest	It's a real shame	is very much a part of the crap	really is no reason to bother with this one																					
film features tons of nudity	 it should have run 80 minutes tops	some odd ghosting images	is in Spanish with no subs																										
copious amounts of nudity and violence	violence against nude people	this movie is a snoozer	pacing is all off kilter and it puts you out	Worst of all, almost no one says anything	Its such a quiet and dull movie	recommend this as a sleep aide	This is a movie to avoid																						
this really isn't one of his best efforts	drags along at a pretty slow pace without much at all happening	is poorly lit	badly dubbed, poorly acted and slow	hilariously bad scenes in it	not much reason to watch	scenes that are so bad																							
How can you tell that a horror movie is terrible?	hilarity of it all	the movie is just bad	don't' bother																										
least deserving of notoriety	dreadfully dull jungle clunker	a gratuitous rape scene	loads of nudity	crap gore														murky cinematography	rapid zooms	numerous crotch shots	out of focus imagery	awful sound effects	ham-fisted editing						
one bizarre 'horror' movie	loosey goosey combo of superior films	The jungle looks more like a park somewhere in Mexico	tribe is like a group of hippies	grabbed anyone who looked even slightly ethnic for this romp	To make matters worse, this film has ultra-minimal gore	no real scares	a lot of unnecessary penis	Not fun	this one just fell WAY short	2 out of 10																			
this little pile of garbage	pilot is one of the worst actors EVER!	are all totally terrible	the dubbing will make you cry blood	some of the worst makeup ever	ping-pong balls for eyes	that's pretty much it	found myself muting much of those scenes	constant nudity	shows lengthy close-ups of female genitals, and, sadly, male as well	can't recommend this trash	not even the good bad movie	just atrociously padded trash																	
is a very low budget movie	demonstrates eating flesh in a horrible manner																												
king of so-called 'eurotrash'	rushed, opaque, stupid, lazy and exploitative in the truest sense of the word	film's title is misleading	makes it sound pretty awful	baldly outrageous	with nudity and sleaze and violence	stupid cheap editing which tries to pave over the extreme haste with which all his films were made	they're so very tedious	incomprehensible	lots of naked writhing, dancing	repetitive zoom-ins	all retarded	dialogue and dubbing is ridiculous and laughable	Not too much really happens	happens pretty sluggishly	odd bit of outrage like a rape	Lazy, crazy		endless repeated zoom-ins on an ugly totem pole											
more of a made for TV movie	there are no subtitles	key plot developments are unveiled in Spanish	will be left a little lost	doesn't exactly light up the screen	really not worth it	also isn't screen stealing either																							
very cheesy	some weird camera angles	resulting only in sleepiness	cast is wasted	writing is stupid and pretentious	bad opinions and comments about this flick are totally deserved	pure garbage	save it for a stormy day							dull road movie															
predictable twists	Predictable	VERY obvious	badly done	this is too long	barely a horror story	not even remotely scary	It ends very stupidly			extremely slow																			
this film was a major letdown	level of relentless cruelty and violence in this film was very disturbing	unnecessarily ugly and mean-spirited	impossible to identify	protagonist's character was as slimy	nothing could be learned about the Spanish civil war	this is not realistic	offensive and poorly handled	seemed uncomfortable																					
I was total disappointed and furious	Too much blood, too much time, too much themes for nothing	worst of the film´s history	advise nobody under no circumstances to go to see this film																										
not so delighted to have seen it	is shockingly violent	so dang *weird*	often simply incoherent	descends into some horrific wretched excess	LOTS of pain and LOTS of blood	potboiler	SEE FORBIDDEN LOVE!! RAPE!! MURDER!! MUTILATION!! FANATICISM!! ANIMAL CRUELTY!! BETRAYAL!!	not nearly enough to make the personalities and relationships of the characters believable	a bizarre and depressing cross	feel I need to take a shower to wash off the gore and gloom																			
only good thing about this movie	Ooooof!	that shot nearly killed me																											
only two movies I would give a 1/10 to	script is insulting	completely lost me	vapid and moronic	offensive stereotypes about Arabs	acting was terrible	The worst																							
Outlandish premise that rates low on plausibility	unfortunately also struggles feebly to raise laughs or interest																												
nothing more than a star vehicle with the story/screenplay not being up to scratch	not being up to scratch ?																												
you cannot automatically make a bad film a good one	Protocol is simply unfunny	Whatever humour exists is tired and strained	relying on offensive stereotypes about Arab men	the film is no more successful	but "Protocol" is not one of them	this dire comedy is by far the worst	3/10.																						
only saving grace	story goes downhill halfway through the movie	doesn't save this movie	don't go out of your way to see this film																										
film never really hits it a stride	just goes on for too long 	preachy scene at the end of the film which gives the whole film a bad taste	don't think this scene added to the movie	don't like stupid comedies trying to teach me a lesson	written by some '60's burn out	not sure it was really worth the money I paid for it!						has no purpose																	
not a drop of sunshine in "The Sunshine Boys"	blasted the material to hell and back	noisier the movie gets, the less tolerable and watchable it is	hammering away at belligerent routines which fail to pay off	semi-incoherent	still too young for this role	over-compensates by slouching and hollering	continues to project as if we'd all gone deaf	picture looks terribly drab	one loses hope for it early on	1/2.	crawls along at a spiritless pace																		
it's also a mess	main plot is very similar to the Hollywood musicals	the writing is just god-awful	a bit demeaning	a trashy scene indeed!	wants to appeal to the lowest common denominator	worst acting I've seen in a very long time	lousy production	trashy characters	it's really, really bad!					a bit trashy	bad acting and direction	poor writing													
Holy crap	worst film I have seen	there is no plot	No plot!	character is senile and keeps asking the same people the same qestions over and over	film got upto a six because people think they should like it	is a steamy turd	in this film NOTHING HAPPENS!																						
movie was awful	ending was absolutely horrible	There was no plot to the movie	movie did not do their acting performances any justice	If the script would have come close to capturing a halfway decent story, it would be worth watching	performances are completely wasted on a god awful storyline	waiting throughout the movie for something to happen	not just utterless dialog between characters	nothing special about any of the characters	Nothing worthy happens during the entire movie	wasted 2 hours of my life	It wasn't even a story	entire movie takes place in a day's worth of time	grossly wasted on such a disappointment of a movie						lack thereof	no plot	no meaning								
4 out of 10	became a total farce	so many clichés in that flick	women's hair is just awful	no real passion in this movie	not funny enough to be a comedy	it's too fake-sad to really touch	it's just not good	one of the oddest movies I've ever seen					over-acting over any limits		more than unrealistic or seem fake														
I can't say I enjoyed it						I didn't look at it all																							
so obvious and heavy handed	entirely predictable	In this film you will find none of that	never seems to occur to the makers of this film that police might be honourable citizens	real chore to watch	put me off watching any more																								
this movie is awful	It's an Australian story yet it seems like it was set in America	was an Australian yet he has an Irish accent	it is the worst film I have seen in a long time																										
this was a very clunky	clunky, uninvolving version	the whole thing felt forced and mechanical	beginning could have been a lot more involving	routinely predictable and signposted	like a very bad tv soap	hoping for something a lot better																							
listened to the critics and passed on this one.	the movie was very disappointing	slow moving	failed to develop much empathy for the characters	I do not recommend this film	It won't satisfy even that	had to fight the urge to fast-forward						never pulled me in																	
movie was so unrelentingly bad	could hardly believe I was watching it	done by junior high school students who don't know all that much about movies	no narrative flow that made any sort of sense	completely out of no where	are not set up like they would have been		making it difficult for us to have any sort of connection	the terrible writing cancels out	diminishes the fascinating (true) story that it attempts to tell	plays like a particularly bad T.V. western/epic	A failure all around	because it was still bad																	
fails to distinguish himself in the title role	providing little in the way of substance	forced to provide a droning voice-over narration	underlines the sanctimoniousness and pretentiousness	same old story told with different accents.	feels awfully familiar and unoriginal	What movie on this particular subject hasn't featured a scene like that																							
worst piece of garbage	He looked deformed	looked as if he couldn't wait to get off the set	This is a far cry	This was trite, cliche-ridden and boring	only stayed because we were convinced it would get better	talking about what a waste of time this film was	It cost me 2 hours of my life																						
silly me for fancifully imagining this movie was a serious attempt	Glad it only cost me two bucks to hire the DVD	3/10																											
quite a few so called `facts' in this film are, on reflection, a tad dubious	albeit a harsh and sporadically brutal version	nothing more than an overblown Hallmark channel `real life historical drama' wannabe	never has a film plodded so slowly	The story plods along at an alarming rate	feeling of numbness after the two hours of pure drivel	nothing happens in the film	you're gonna be disappointed	fill even more time (possibly an attempt to look arty),	film keeps showing pointless wildlife shots	is a turgid, emotionless piece of historical fluff	should have gone straight to TV	isn't even one good word I can say about this film	seems embarrassed to be here	wishing I had a gun to blow any memory of this film out of my head															
shallow, two-dimensional, unaffecting and, hard to believe given the subject matter, boring	they didn't have much to work with given the very plodding and unimpressive script	story is utterly without any literary depth at all	told entirely on the surface and full of central casting standards	doesn't work as a popcorn film either	pacing is too off-kilter	story has failed miserably on the big screen					its craft is too lacking to satisfy even on the level of a mundane actioner																		
the plot was paper thin	can't help feeling that another opportunity has been missed to tell the real story	doesn't inspire me to read "Our Sunshine"																											
had nothing to do with the story	It's something I would have done my 1st year in film school	seemed to drag on for no apparent reason	too many things just thrown in there 	team didn't really know what they were doing	this was by far the worst	just wanted to warn others not to start with this one						had nothing to do with the story																	
that won't do for the TV series	was feeble	All the stuff about Japp having to cater for himself was weak too	they had to put something in to fill the time	victim of style over content																									
found it to be absolutely idiotic	seemed so ridiculous	performance was awful I thought	She was very irritating	this movie seemed to have a ridiculous plot 							over the top acting																		
stupid	plot was senseless	acting was terrible	waste of two hours of my life																										
movie sucked	waste of my life	acting was atrocious	complete joke																										
not at all appealing	made no sense																												
plot was stupid	bit boring	incomprehensible					the end is totally chaotic																						
Unfortunately	miss out	boring mess	cheaper	confusing scene	doesn't make much sense	bad lines	cheesy effects	2 out of 10		poor direction	really bad acting																		
pains me	below average rating	under-exploited	plot is predictable	acting mediocre	editing atrocious																								
highly disappointed	story line was so twisted	far fetch	I just couldn't enjoy it	movie was a downer																									
would be much better	Too many scenes out of context	better care at editing	story was all over the place	didn't seem to have a center																									
strays further and further	worst one		story line is no where in the book	great disservice	music is too loud	actors are not convincing	lack emotions	 Don't watch it																					
very disappointed	sad and depressing	to many goofs	editing was very poor	to many scenes out of context	didn't seem to fit	lacking emotion	slips further and further away	my least favorite																					
worse than a home video	just horrible	worst movie																											
Buyer beware																													
most of the garbage	tons of filler.	been filmed on someone's mobile phone																											
ABSOLUTE waste of time	Worse still	isn't a 'fun' movie	aggravating, boring and almost completely devoid of any redeeming virtue	unimaginative, badly-conceived junk	3-D format is utterly wasted																								
couldn't tell where I was in this movie	couldn't pay long enough attention	acting was just horrible	BAD movie	non-sense style 	skip this one																								
