is a terrific example of absurd comedy	violent mob by the crazy chantings	Unfortunately it stays absurd the WHOLE time	no general narrative	too off putting	should be turned off	cryptic dialogue																						
most unbelievably intelligent illiterate of all time	so wasteful of talent	it is truly disgusting	script is unbelievable	dialog is unbelievable	character is a caricature of herself, and not a funny one	movie moves at a snail's pace	photographed in an ill-advised manner	insufferably preachy	movie is this worthless	it is a waste of time and tape	Avoid this movie																	
horrible performances	zero chemistry	worst effort	illiterate of all time	uncomfortably drifts all over the map	has no handle on this character	character is so poorly written	Molasses-like	excruciating pacing	is a true "bummer	1 out of 10	one of the worst 20 movies																	
it fails from every angle	Depressing yes	adaptation of 'Union Street'...no	many are discarded	essence and the real gut of the novel is lost																								
kind of boring	it didn't make sense	his hair was kind of weird	did not make up for the film	they cuss in like every sentence	cussing was annoying	flashy, camera shaking thing gave me a headache	found the film to be a bore	over dramatic	not worth renting																			
has failed in it very badly	total waste of time and effort	I have seen worst movies than this	instead of the story dictating the style in which the movie should be made, he has gone in the opposite way																									
really a new low in entertainment	there are a lot worse movies out	hard to have a convincing storyline (this movies does not	couldn't be more far fetched and worn out cliché	would also need a setting of character relationships that is believable (this movie does not.)	not giving the characters a moment to reflect	forcing the story along the path where they want it to be	it is nothing more then a cheap action movie	managing to not totally ruin what's left of his reputation	can't recommend it	1 for Vinnie and 2 for the editing.																		
6/10 Acting, not great	makes some stupid decisions	story makes no sense at all	has huge amount of flaws	4/10 Overall score	Don't waste your time	it's not worth it	gave 4 for this movie and it may be too much	Characters are so over exaggerated	pretty unexplainable stuff happens	not in good way	you get bored after 30 minutes	too many special effects	slow motions	camera shakes	fast forwards	too many tracks	is almost 50/50 dialogs and musics											
one of the dumbest films	rips off	make a mess	not a single good line or character in the whole mess	If there was a plot, it was an afterthought	there's nothing good to say so Ill say nothing	cant understand how this type of nonsense gets produced	Oh my god this really is a load of shite	Its crap like this that has people downloading illegally	trailer looks like a completely different film	Don't waste your time	this is painful																	
seriously let this film down	feel bad for the writers	acting is wooden	few of the characters are believable	clearly just learnt some new edit techniques and wanted to splash them all over the film	lots of quick 'flashy' edits	end up as annoying	alas no	left me feeling like I'd wasted my time	film makers had wasted their money																			
how does such a crappy movie ever earn a sequel	it seemed really weak	actress playing Brooke was pretty, but not exceptional																										
movie was B-grade slop	techniques used (as many have already mentioned) were overused	unconvincing and irrelevant	it was lacklustre, unimaginative, implausible and convoluted	such boring action	looks can only carry a film so far	action is poor and intermittent	Nothing really to write home about	BAD' movies are great to watch for the very reason that they are 'bad'	film, however, is a void	It's nothing	save you money and your time by NOT seeing this movie																	
Weak plot	predictable violence	semi interesting characters	fictionalizing his own screw ups	added an incredulous fantasies	predictable rap and house soundtrack, to the family conflicts	it's poorly acted	stereotypical, and ultimately terribly boring	title has been done before																				
one wishes to have a refund for the time just spent	almost gave up with only 15 minutes left to endure	pace that a man goes from a straight-laced, controlled life to one of complete spinelessness and irresponsibility could never be this rapid	impossible to understand	film has no redeeming qualities	Save your money	save your time	do anything else																					
