much closer to reality	is far fetched. What a pity that it isn't!																	
good leader	cast is also fantastic	Very good!																
nothing short of brilliant	Expertly scripted	leaves you literally rolling with laughter	superbly caricatured cross section	doesn't shy away from parodying every imaginable subject	will not disappoint!				perfectly delivered									
??																		
only show preserved from the experimental theatre movement in New York in the 1960s	is a genuinely brilliant, darkly funny	preserved here the show pretty much as it was originally conceived	his is an aggressive, unsettling, glorious, deeply emotional, wildly imaginative piece of storytelling that you'll never forget	might change the way you see the world														
positive side regarding this film	the beautiful and sensitive score	surpasses anything	necessary story of intellectual and spiritual awakening														a story which can't be told often enough	excellent addition to that genre
Fair drama/love story movie	acting here is good	interesting for people who are interested on the subject matter regarding illiteracy																
did admire the acting	are great in this movie	has the ability to make every role he portrays into acting gold	gives a great performance in this film	won't see much bette acting anywhere														
Very good drama	simply smacked of the real world	2 thumbs up.																
is as unbelievable as they come	there are moments of pleasure	it's still pleasant	no overtures to serious issues															
this is really a well done special story	she does one Hell of a fine job	usual superb self	Everything is so well done: acting, directing, visuals, settings, photography, casting	If you can enjoy a story of real people and real love - this is a winner														
Liked Stanley & Iris very much	Acting was very good	Story had a unique and interesting arrangement	absence of violence and porno sex was refreshing	Characters were very convincing	Very enjoyable movie			felt like you could understand their feelings										
Liked Stanley & Iris very much	Acting was very good	Story had a unique and interesting arrangement	absence of violence and porno sex was refreshing	Characters were very convincing and felt like you could understand their feelings	Very enjoyable movie													
bring an art house style film mainstream	I'll give it an "A" for effort																	
special place in my heart	It rang very true to me	make you gulp with sudden emotion	put a smile on your face	Excellent performances	a great turn	an inspiring story line	most enjoyable and rewarding experience											
Magic in this film: the scene in the library	characters are smart	good movie																
nice feel to it	most memorable part of the film	involves some touching scenes	nice tale that I would be happy to recommend															
uses technology and the techniques of industrial production in an artisanal and creative way	outside of traditional gender relations	slightly nostalgic feel	highly recommended	close to a perfect 10														
heart warming film	really good film without nudity, violence, or profanity	A good film all round																
Only great acting	became interested in these people because of their overwhelming humanity given to them by such strong performances	fabulous in this role	superb as a man	look forward to seeing it again.														
The beauty of the movie is the dance	nicely gives us a good view of how life often is	thus being credible	characters each rendered to be consistent for the whole picture	carefully chosen and they add a depth of character	All in all an excellent movie	The best thing I take from it is Hope												
